x,y,z
11.7382765,1.931206,6.111258
8.943791,4.0453935,5.15859
12.387812,1.0296801,5.726947
10.627707,2.3062434,4.762956
11.4782,1.6543014,6.209696
9.120002,2.7861,6.3491483
13.0800705,0.2995892,5.740768
9.585762,2.9991822,5.1613035
12.1732235,1.0022672,6.308863
9.406121,2.903538,6.621302
11.075578,2.072343,4.9153643
8.876703,3.9969478,5.1797442
12.308235,0.79966015,6.018737
9.154631,3.9107535,4.959477
12.161235,1.1601542,6.253751
10.907941,2.245741,4.9803333
11.146273,1.8772044,4.815119
9.352942,2.9682505,5.487685
11.625175,1.2385032,5.0364914
11.003786,1.9824042,4.8689013
10.420862,2.5775936,5.070078
11.189298,1.9422542,4.9784846
10.681094,2.1431441,5.3523946
9.514998,2.7706316,5.100206
12.545225,0.84734815,6.342742
9.179975,4.0035076,4.983541
12.042354,1.8550189,6.140088
9.23888,3.8906603,5.0773993
12.488863,0.8213208,6.288701
10.463488,2.2874494,5.183122
12.210212,1.4038215,6.2609563
8.970894,4.464218,5.177306
12.036677,0.9762536,6.3885694
9.660437,2.873443,5.0520577
12.341072,1.0223422,5.590947
9.001063,4.378421,5.3790746
11.3862,1.6662368,4.924576
9.297371,2.9454048,5.7919674
10.871017,2.9710946,5.966107
9.060883,2.6801867,6.2368636
11.338562,1.5825276,4.85583
9.294113,4.1385336,5.615341
12.4185705,0.9668349,5.659014
9.052896,2.7097988,6.2279944
12.358022,0.7456528,5.3302794
9.217525,3.026383,6.052286
12.33757,0.83594453,5.7431455
11.53653,1.3355758,4.926425
12.15095,0.9440201,6.3708763
8.992596,3.930888,5.5671887
11.29472,1.270357,4.8510246
9.144263,3.8169527,4.988846
10.240724,2.6847281,6.205801
9.2767105,4.029939,5.07962
10.811174,1.5680985,4.9784627
9.777507,3.6957846,6.2497725
12.6118355,0.6909676,6.3690577
8.835227,4.319337,5.2489967
12.360298,0.82389104,6.1848598
9.171327,3.12144,6.0262923
12.159285,1.192618,6.3139243
9.035106,3.4317935,5.895477
12.704335,0.69584435,6.416023
9.29915,3.08902,5.904319
12.880971,0.45562276,6.2702613
10.196828,2.359293,5.0685086
12.224508,1.5293232,6.120227
9.50821,3.2799451,5.934517
9.740548,2.679129,6.6373277
9.262833,3.5679646,5.0515003
11.905195,1.0270265,5.2497697
8.955788,4.109908,5.278212
12.019429,1.5153317,6.316805
9.240311,2.9989562,6.4248133
9.465977,3.2554653,6.6482496
8.958931,4.3856745,5.0114264
9.439189,2.8714862,6.665036
8.890848,3.845697,5.3290987
10.822701,2.8492303,5.7995677
11.98842,1.7044951,6.1635137
10.344593,3.1642048,5.3316693
9.405608,2.960346,5.0491123
10.218512,2.3101387,5.184448
9.533692,3.329295,5.3577943
12.501276,0.7736548,6.313317
-3.893581,3.05006,3.4375284
-3.7844005,4.9848604,-1.3346914
-3.745649,3.2843413,2.575565
-4.1019945,4.67307,-0.27672222
-4.2360873,4.452453,0.5340996
-3.8642476,3.200863,3.1331284
-3.973017,3.8441021,2.8048184
-4.221402,4.5950365,1.1576822
-4.048519,2.898631,3.8817124
-4.008947,4.423037,1.2317771
-4.336612,3.465125,3.6546683
-3.7973628,4.6982503,0.102790274
-4.166904,3.5291386,3.1175838
-4.2506227,4.506903,0.044990595
-3.7310452,2.8748763,3.704944
-3.8842146,4.632093,-0.37960035
-3.9935472,2.8597112,3.9799716
-3.78346,4.6043262,-0.5858149
-3.7835417,3.636165,2.5696545
-4.4658203,4.7172885,0.41534463
-4.374933,4.5930367,0.04182807
-4.1385903,4.0735326,2.5430021
-3.7817118,3.0145872,3.4176698
-3.97832,4.533224,1.1654712
-4.378089,3.656,3.3191671
-4.0093493,4.3117995,1.408874
-4.1636558,4.513152,0.15229234
-3.8003545,3.4258783,2.5209255
-4.17743,4.730951,-0.29485747
-4.3015156,4.6594114,1.0442945
-4.2633066,3.3348503,3.7855084
-3.8980122,3.9499445,2.6082432
-3.644343,4.8848004,-1.7123351
-4.571914,4.6284122,0.71254724
-3.7408388,4.835691,0.08231247
-4.394031,3.581034,3.448827
-3.8498662,4.654535,0.79276514
-3.9723637,2.8953764,3.8732002
-3.9856439,4.5058722,0.47964877
-3.880943,2.7660556,3.9783556
-3.745269,4.8174124,-0.91357124
-3.8914936,2.884661,3.774079
-4.5983887,4.17564,1.611961
-4.0229793,4.942223,-0.6830569
-4.425003,3.7410045,3.3039408
-3.79058,2.786886,3.8338008
-4.2113037,5.0073223,-0.8903294
-4.3711505,3.6919017,3.2087283
-3.8797722,4.598453,0.9250966
-3.8122373,3.6994274,2.6476853
-4.529231,4.5781426,0.524425
-3.910892,2.9924216,3.75184
-4.620432,4.813646,0.5192711
-4.216268,4.0215526,2.420685
-4.1074424,4.520471,1.336639
-4.027583,2.9678836,3.889951
-4.257735,4.5021877,1.587496
-4.1459193,3.1558316,3.8885822
-4.271085,4.894366,-0.5959218
-3.8484974,2.8516817,3.8248882
-4.2376256,4.541178,1.1874328
-3.857924,3.0219877,3.4338005
-3.7625196,4.880652,-1.5609525
-4.3286543,3.884116,2.7559273
-3.6662252,4.9066887,-1.255424
-3.6206236,4.8247776,-1.1934066
-4.3654947,3.8617852,3.2031138
-4.280832,4.799811,-0.41143784
-4.468477,4.175781,1.7760015
-4.28532,4.6682076,1.2897747
-4.4634733,4.679752,1.0922396
-4.1463413,4.3141227,1.2898979
-4.3393,4.0926447,2.1705635
-3.6309638,4.8247485,-1.1474721
-3.7979186,3.4121158,2.5477557
-3.791735,4.6517286,-0.5862941
-4.2211423,3.6513627,3.0159147
-3.6440148,4.6997485,-0.6535732
-3.899357,3.484056,2.3253663
-4.128656,4.8714237,-0.8450116
-3.9217265,3.5717297,2.4162185
-4.1448073,5.0353684,-0.784571
-4.159399,3.4746852,3.2900424
-3.8621202,5.0623713,-1.4352103
-4.480153,3.888685,3.3191183
-4.618497,4.6199846,0.44851848
-3.9401472,3.6320245,2.6889462
-3.8150144,5.004103,-1.4995077
-4.416983,4.309493,1.650405
-3.8584778,5.0326524,-1.5172952
-3.8882737,3.9615755,2.8338509
-3.8088415,4.848114,-0.7955228
-4.151284,4.0221295,2.9124055
-4.2633023,5.126459,-0.90806466
-4.4720516,4.3489637,1.3768005
-4.4250336,4.277188,1.8913126
-3.761842,3.3685534,2.533515
-4.100326,5.167046,-1.1716694
-4.5764804,4.236023,1.6337113
-3.7166715,4.9059734,-1.6551069
-4.238398,4.4086924,1.3851926
-4.2818494,4.830991,-0.4274453
-3.7543917,4.6686993,0.49681652
-4.296111,3.4337256,3.754147
-4.107379,4.8669324,-0.8025581
-4.2514133,3.2699108,3.8119323
-4.0593534,4.489809,0.39153498
-4.6303077,4.356958,1.2646945
-3.6226075,4.80218,-1.1703484
-4.143964,3.8064482,3.4166076
-3.86573,5.0511727,-1.38969
-3.960618,3.1467242,3.3123083
-3.6999125,4.873942,-1.6510993
-3.6942208,4.6823506,-0.6845507
-4.042843,3.7118225,2.7340434
-4.1041937,3.8050632,2.4589767
-3.892844,4.7799144,-0.5871446
-3.9039545,4.1749253,2.089513
-3.8505707,4.617269,0.24272771
14.083835,-0.38947332,5.8939104
15.654048,-1.4921354,5.104009
15.275917,-1.3918374,5.083584
13.923687,-0.2427839,5.676307
15.570406,-1.5285091,4.9611664
13.715549,-0.15167141,6.0419674
13.949896,-0.25141296,5.629537
15.25732,-1.2208251,5.4284406
13.165489,0.22482604,5.7879477
15.546071,-1.5539782,4.94968
14.075612,-0.35584876,5.911238
15.635758,-1.4947051,4.8690453
14.187154,-0.48912087,5.8890634
15.795541,-1.2917417,5.5041175
14.092697,-0.4816448,6.1943192
15.988268,-1.523066,5.3451433
15.362855,-1.4175587,5.02295
15.027058,-1.1186448,5.240404
14.0069895,-0.31606942,5.7298517
15.686274,-1.1251733,5.580252
9.670098,3.4547172,6.6564717
14.354706,-0.61125344,5.7644877
9.419831,3.322447,6.9108925
15.373949,-1.4007581,5.021173
14.125437,-0.42295882,5.8412385
16.00291,-1.4131337,5.356307
15.203467,-1.3064134,5.362877
15.634305,-1.4031276,5.355678
14.051875,-0.34815392,5.8182297
16.345133,-1.807924,5.2569084
9.310273,3.3932543,6.800622
16.353134,-1.8276336,5.2434144
9.376651,3.32809,6.8099456
15.9896755,-1.4022269,5.4897013
15.151873,-1.1931382,5.4669538
14.259995,-0.62791824,6.0501885
14.4538,-0.53221375,5.5938997
16.415344,-1.866836,5.2033925
14.176208,-0.4753787,6.244753
16.30862,-1.7425712,5.3223667
16.292934,-1.6191832,5.429727
14.084273,-0.40510476,5.9643774
15.228161,-1.355136,5.19187
14.094851,-0.4778502,6.2651415
14.973931,-1.0937686,5.5535254
15.971393,-1.3343271,5.5152645
14.823968,-0.9776096,5.442226
16.361902,-1.5724527,5.5010996
14.9429035,-1.0632639,5.301207
14.77172,-0.9912804,5.697336
14.297615,-0.6757829,6.3084593
15.931065,-1.5091902,5.3654675
14.064968,-0.43309906,6.131019
16.11501,-1.6349094,5.2711854
9.507223,3.372532,6.810794
15.153162,-1.4390558,5.136207
14.057505,-0.43106878,6.3774166
16.096373,-1.61691,5.273847
15.696025,-1.3820474,5.4368534
13.735741,-0.12848909,5.7788615
16.292078,-1.6878711,5.4110646
14.171622,-0.51600546,6.1639924
14.137517,-0.52675796,6.2394347
16.368382,-1.8328267,5.3165197
12.973415,0.4216673,6.374997
15.019312,-1.0466899,5.425054
16.376633,-1.6052687,5.5332417
15.410513,-1.2900568,5.378963
